"UF";"CódigoDoCliente";"CodigoBanheiro";"LocalBanheiro SetorPredio";"TipoBanheiro";"CodigoEquipamento";"CódigoDoProduto";"HoraLiga";"HoraDesliga";"CodigoAroma";"DescriçaoAroma";"UltimaTroca";"Peso Refil";"SoltarNevoa";"PararNevoa"
"SP";3352;"14215";"ENTREDA DA MATERNIDADE";;;"ARO-25T";"06:00";"22:00";51;"30 - geovanna baby";"23/11/2016";;"60";"180"
"SP";3352;"14144";"CENTRO DE ESTUDOS";;;"ARO-25T";"06:00";"22:00";250;"115 - VERBENA";"23/11/2016";;"60";"180"
"SP";3352;"14585";"CORREDOR MATERNIDADE";;;"ARO-25T";"06:00";"22:00";51;"30 - geovanna baby";"23/11/2016";;"60";"180"
"SP";3825;"13426";"WC L3";"FEM";;"ARO-25T";"10:00";"20:00";116;"95 - AMBER COLOGNE";"22/02/2222";;"90";"180"
"SP";3825;"12841";"BANHEIRO MASC L3";"MASC";;"ARO-25T";"10:00";"22:00";116;"95 - AMBER COLOGNE";"22/02/2222";;"90";"120"
"SP";3825;"12840";"BANHEIRO FEM L3";"FEM";;"ARO-25T";"10:00";"22:00";116;"95 - AMBER COLOGNE";"22/02/2222";;"90";"120"
"SP";3825;"12839";"BANHEIRO MASC c&A";"MASC";;"ARO-25T";"10:00";"22:00";116;"95 - AMBER COLOGNE";"22/02/2222";;"90";"120"
"SP";3825;"12837";"BANHEIRO MASC RENNER";"MASC";;"ARO-25T";"10:00";"22:00";116;"95 - AMBER COLOGNE";"22/02/2222";;"90";"180"
"SP";3825;"13427";"WC CAFÉ PONTO";"FEM";;"ARO-25T";"10:00";"20:00";116;"95 - AMBER COLOGNE";"22/02/2222";;"90";"180"
"SP";3825;"12834";"BANHEIRO INFANTIL";"UNISEX";;"ARO-25T";"10:00";"22:00";116;"95 - AMBER COLOGNE";"22/02/2222";;"90";"120"
"SP";3825;"12838";"BANHEIRO FEM C&A";"FEM";;"ARO-25T";"10:00";"22:00";116;"95 - AMBER COLOGNE";"22/02/2222";;"90";"120"
"SP";3825;"12833";"BANHEIRO MASC CAFÉ PONTO";"MASC";;"ARO-25T";"10:00";"22:00";116;"95 - AMBER COLOGNE";"22/02/2222";;"90";"120"
"SP";3825;"12832";"BANHEIRO FEM CAFÉ PONTO";"FEM";;"ARO-25T";"10:00";"22:00";116;"95 - AMBER COLOGNE";"22/02/2222";;"90";"120"
"SP";3825;"12831";"BANHEIRO MASC AMOR";"MASC";;"ARO-25T";"10:00";"22:00";116;"95 - AMBER COLOGNE";"22/02/2222";;"90";"120"
"SP";3825;"12830";"BANHEIRO FEM AMOR";"FEM";;"ARO-25T";"10:00";"22:00";116;"95 - AMBER COLOGNE";"22/02/2222";;"90";"120"
"SP";3825;"12829";"BANHEIRO MASC ADM";"MASC";;"ARO-25T";"10:00";"22:00";116;"95 - AMBER COLOGNE";"22/02/2222";;"90";"120"
"SP";3825;"11807";"BANHEIRO FEM ADM";"FEM";;"ARO-25T";"10:00";"22:00";116;"95 - AMBER COLOGNE";"22/02/2222";;"90";"120"
"SP";3825;"12835";"BANHEIRO FRAUDARIO";"UNISEX";;"ARO-25T";"10:00";"22:00";116;"95 - AMBER COLOGNE";"22/02/2222";;"90";"120"
"SP";3825;"12836";"BANHEIRO FEM RENNER";"FEM";;"ARO-25T";"10:00";"22:00";116;"95 - AMBER COLOGNE";"22/02/2222";;"90";"120"
"SP";3825;"12765";"ENTRADA SHOPPING";;;"ARO-500T";"09:30";"21:30";230;"96 - LIME BASIL";"22/02/2222";;"05:00";"07:00"
"SP";4166;"13987";"LOJA";;;"ARO-25T";"09:00";"18:00";248;"114 - HAVAIANAS";"31/10/2016";;"120";"180"
"SP";4200;"12121";"DENTRO DA LOJA";;;"ARO-25T";"08:00";"22:00";248;"114 - HAVAIANAS";"04/11/2016";;"120";"180"
"SP";4222;"12172";"LOJA";"FEM";;"ARO-25T";"10:00";"22:00";248;"114 - HAVAIANAS";"24/11/2016";;"120";"180"
"SP";4234;"12226";"AONDE TEM PONTO DE TOMADA";;;"ARO-25T";;;248;"114 - HAVAIANAS";"28/11/2016";;"2";"3"
"SP";4240;"12244";;"MASC";;"ARO-25T";;;248;"114 - HAVAIANAS";"07/10/2016";;"120";"180"
"SP";4240;"13208";;"FEM";;"ARO-25T";;;248;"114 - HAVAIANAS";"07/10/2016";;"120";"180"
"SP";4240;"13209";;"UNISEX";;"ARO-25T";;;248;"114 - HAVAIANAS";"07/10/2016";;"120";"180"
"SP";4244;"11034";"LOJA";;;"ARO-25T";;;248;"114 - HAVAIANAS";"06/12/2016";;"120";"180"
"SP";4254;"12272";"LOJA";;;"ARO-25T";;;248;"114 - HAVAIANAS";"29/11/2016";;"120";"180"
"SP";4258;"12889";"VILABOIM PROX HAVANA";"FEM";;"ARO-25T";"10:00";"22:00";250;"115 - VERBENA";"22/02/2222";;"90";"120"
"SP";4258;"12893";"HIGIENOPOLIS PROX A TRACKFIELD";"FEM";;"ARO-25T";"10:00";"22:00";250;"115 - VERBENA";"22/02/2222";;"90";"120"
"SP";4258;"12891";"VILABOIM PROX RICHARDS";"FEM";;"ARO-25T";"10:00";"22:00";250;"115 - VERBENA";"22/02/2222";;"90";"120"
"SP";4258;"12894";"HIGIENOPOLIS AREA EXPANSÃO";"FEM";;"ARO-25T";"10:00";"22:00";250;"115 - VERBENA";"22/02/2222";;"90";"120"
"SP";4258;"12888";"TERRAÇO PROX AO REI DO MATE";"FEM";;"ARO-25T";"10:00";"22:00";250;"115 - VERBENA";"22/02/2222";;"90";"120"
"SP";4258;"12892";"VILABOIM AREA EXPANSÃO";"FEM";;"ARO-25T";"10:00";"22:00";250;"115 - VERBENA";"22/02/2222";;"90";"120"
"SP";4258;"12890";"VILABOIM PROX TVZ";"FEM";;"ARO-25T";"10:00";"22:00";250;"115 - VERBENA";"22/02/2222";;"90";"120"
"SP";4258;"12887";"TERRAÇO PROX AO SPOLETO";"FEM";;"ARO-25T";"10:00";"22:00";250;"115 - VERBENA";"22/02/2222";;"90";"120"
"SP";4258;"12904";"VILABOIM PROX RICHARDS";"MASC";;"ARO-25T";"10:00";"22:00";250;"115 - VERBENA";"22/02/2222";;"90";"120"
"SP";4258;"12900";"TERRAÇO PROX SPOLETO";"MASC";;"ARO-25T";"10:00";"22:00";250;"115 - VERBENA";"22/02/2222";;"120";"40"
"SP";4258;"12901";"TERRAÇO PROX AO REI DO MATE";"MASC";;"ARO-25T";"10:00";"22:00";250;"115 - VERBENA";"22/02/2222";;"90";"120"
"SP";4258;"12902";"VILABOIM PROX HAVANA";"MASC";;"ARO-25T";"10:00";"22:00";250;"115 - VERBENA";"22/02/2222";;"90";"120"
"SP";4258;"12903";"VILABOIM PROX TVZ";"MASC";;"ARO-25T";"10:00";"22:00";250;"115 - VERBENA";"22/02/2222";;"90";"120"
"SP";4258;"12898";"VEIGA FILHO PROX A CAMICADO";"FEM";;"ARO-25T";"10:00";"22:00";250;"115 - VERBENA";"22/02/2222";;"90";"120"
"SP";4258;"12897";"VEIGA FILHO EXPANSÃO";"FEM";;"ARO-25T";"10:00";"22:00";250;"115 - VERBENA";"22/02/2222";;"90";"120"
"SP";4258;"12899";"VEIGA FILHO PROX A CAFÉ DO PONTO";"FEM";;"ARO-25T";"10:00";"22:00";250;"115 - VERBENA";"22/02/2222";;"90";"120"
"SP";4258;"12896";"PACAEMBU EXPANSÃO";"FEM";;"ARO-25T";"10:00";"22:00";250;"115 - VERBENA";"22/02/2222";;"90";"120"
"SP";4258;"12905";"VILABOIM AREA EXPANSÃO";"MASC";;"ARO-25T";"10:00";"22:00";250;"115 - VERBENA";"22/02/2222";;"90";"120"
"SP";4258;"12906";"HIGIENOPOLIS PROX A TRACK & FIELD";"MASC";;"ARO-25T";"10:00";"22:00";250;"115 - VERBENA";"22/02/2222";;"90";"120"
"SP";4258;"12895";"PACAEMBU TNG";"FEM";;"ARO-25T";"10:00";"22:00";250;"115 - VERBENA";"22/02/2222";;"90";"120"
"SP";4258;"12907";"HIGIENOPOLIS AREA EXPANSÃO";"MASC";;"ARO-25T";"10:00";"22:00";250;"115 - VERBENA";"22/02/2222";;"90";"120"
